Time;Open;High;Low;Last;Change;Volume
03/17/2020;1511.69;1548.43;1466.83;1527.89;16.34;7915
03/16/2020;1534.49;1564.94;1453.26;1511.55;-17.49;6813
03/13/2020;1577.55;1595.26;1512.37;1529.04;-48.55;6384
03/12/2020;1635.42;1647.89;1564.13;1577.59;-58.06;6284
03/11/2020;1649.08;1669.44;1634.02;1635.65;-13.39;6480
03/10/2020;1678.76;1679.57;1645.13;1649.04;-29.52;5563
03/09/2020;1673.99;1701.61;1659.92;1678.56;4.3799999999999;5847
03/06/2020;1671.98;1689.5;1651.55;1674.18;2.23;4993
03/05/2020;1635.89;1673.51;1635.89;1671.95;35.61;5878
03/04/2020;1640.42;1647.59;1633.51;1636.34;-4.0500000000002;5557
03/03/2020;1589.32;1647.13;1588.81;1640.39;51.03;5059
03/02/2020;1586.24;1610.32;1579.73;1589.36;3.6699999999998;4543
02/28/2020;1644.13;1648.07;1566.78;1585.69;-58.27;4536
02/27/2020;1640.59;1657.92;1636.76;1643.96;3.3700000000001;5139
02/26/2020;1634.83;1654.08;1627.53;1640.59;5.6599999999999;5072
02/25/2020;1658.72;1659.18;1634.06;1634.93;-23.67;5677
02/24/2020;1642.79;1687.92;1642.73;1658.6;15.3;6032
02/21/2020;1619.34;1647.97;1619.04;1643.3;23.97;6531
02/20/2020;1611.38;1622.48;1604.56;1619.33;7.8799999999999;7008
02/19/2020;1601.23;1612.17;1599.77;1611.45;10.23;7316
02/18/2020;1581.01;1604.46;1581.01;1601.22;20.21;7284
02/17/2020;1584.04;1584.04;1578.91;1581.01;-2.8599999999999;5850
02/14/2020;1575.86;1584.5;1573.7;1583.87;7.9499999999998;7073
02/13/2020;1565.72;1577.44;1565.67;1575.92;10.23;7426
02/12/2020;1567.64;1569.75;1562.37;1565.69;-1.97;7547
02/11/2020;1571.96;1573.32;1562.82;1567.66;-4.28;7131
02/10/2020;1570.24;1576.43;1568.35;1571.94;1.8500000000001;7269
02/07/2020;1566.33;1572.89;1563.1;1570.09;3.73;7137
02/06/2020;1556.2;1567.13;1552.87;1566.36;10.12;7263
02/05/2020;1552.52;1561.84;1548.29;1556.24;3.74;6967
02/04/2020;1576.54;1578.98;1549.56;1552.5;-24.01;7084
02/03/2020;1588.94;1590.31;1571.6;1576.51;-12.14;6679
01/31/2020;1573.88;1589.83;1571.18;1588.65;14.78;6466
01/30/2020;1576.65;1585.19;1572.83;1573.87;-2.7800000000002;7090
01/29/2020;1567.38;1577.35;1563.56;1576.65;9.1300000000001;7244
01/28/2020;1581.69;1582.23;1566.19;1567.52;-14.2;7448
01/27/2020;1571.49;1585.59;1571.44;1581.72;10.64;6940
01/24/2020;1562.61;1574.87;1556.98;1571.08;8.47;6719
01/23/2020;1558.63;1567.42;1552.4;1562.61;3.9799999999998;7333
01/22/2020;1558.08;1559;1550.76;1558.63;0.54000000000019;7452
01/21/2020;1559.58;1567.92;1547.4;1558.09;-1.51;7324